Source,Target
101,8638
101,20279
101,20998
101,30414
101,31240
101,57579
101,63814
101,64626
101,64651
101,64892
101,65652
101,67712
101,68848
101,69782
101,73044
101,76228
101,77918
101,79674
101,80782
101,81370
101,83750
101,83791
101,83936
101,84089
101,88234
101,91192
101,91213
101,95311
101,125447
101,128217
101,130512
101,130583
101,131276
101,133731
101,136568
101,138316
101,141326
101,141758
101,141850
101,146242
101,154551
101,174624
101,196189
101,209966
101,216899
101,259783
101,262110
101,268217
101,272375
101,284296
101,284335
101,286383
101,287529
101,288184
101,289236
101,290934
101,291120
101,298967
101,300705
101,306439
101,306864
101,307183
101,335221
101,337298
101,349638
101,357309
101,400461
101,427110
101,427111
101,461407
101,552627
101,570566
101,621386
101,658585
101,672401
101,706505
101,707198
101,707853
101,711677
101,739435
101,890984
101,940358
101,968381
101,995357
101,1147281
101,1218673
101,1268202
101,1304967
101,1327065
101,1338407
101,1341321
101,1345838
101,1345853
101,1345861
101,1346176
101,1346182
101,1346185
101,1358626
101,1360967
101,1360970
101,1360976
101,1364497
101,1364957
101,1376027
101,1376029
101,1382508
101,1390390
101,1392276
101,1392278
101,1410398
101,1412357
101,1412823
101,1414542
101,1417983
101,1419610
101,1426111
101,1457651
101,1461472
101,1472840
101,1480735
101,1602376
101,1614354
101,1627503
101,1660515
101,1675230
101,1677022
101,1677031
101,1679301
101,1715625
101,1756585
101,1775895
101,1778240
101,1789053
101,1791221
101,1794743
101,1806266
101,1900595
101,1957548
101,2034996
101,2058549
101,2061177
101,2061178
101,2061180
101,2067392
101,2090943
101,2151453
8638,24203
8638,33417
8638,47317
8638,64651
8638,67273
8638,72604
8638,83214
8638,83337
8638,85537
8638,87179
8638,87571
8638,106008
8638,146242
8638,151982
8638,161739
8638,198788
8638,198813
8638,209966
8638,268217
8638,272327
8638,284296
8638,289236
8638,289276
8638,298967
8638,307183
8638,335221
8638,337298
8638,342791
8638,357309
8638,371896
8638,440936
8638,500665
8638,524824
8638,837707
8638,1000695
8638,1372510
8638,1372511
8638,1376599
8638,1378330
8638,1378331
8638,1414542
8638,1426111
8638,1430350
8638,1481636
8638,1660515
8638,1761937
8638,1792686
8638,1798267
8638,1909759
8638,1915208
20279,31240
20279,57579
20279,63814
20279,64892
20279,67712
20279,76228
20279,80782
20279,81370
20279,81514
20279,83936
20279,84089
20279,91192
20279,91213
20279,125447
20279,131276
20279,154551
20279,174624
20279,216899
20279,259732
20279,259783
20279,262110
20279,272375
20279,288184
20279,291120
20279,306864
20279,357309
20279,400461
20279,427110
20279,427111
20279,552627
20279,621386
20279,658585
20279,706505
20279,709136
20279,739435
20279,890984
20279,968381
20279,1268202
20279,1341321
20279,1345838
20279,1345853
20279,1345861
20279,1346176
20279,1346182
20279,1358626
20279,1360967
20279,1360970
20279,1360976
20279,1364957
20279,1390390
20279,1410398
20279,1412357
20279,1417983
20279,1457651
20279,1472840
20279,1480735
20279,1602376
20279,1614354
20279,1627503
20279,1677022
20279,1677031
20279,1756585
20279,1775895
20279,1778240
20279,1789053
20279,1791221
20279,1794743
20279,1806266
20279,1900595
20279,1957548
20279,2034996
20279,2058549
20279,2061177
20279,2061178
20279,2061180
20279,2067392
20279,2090943
20279,2151453
20998,7127
20998,8593
20998,23719
20998,32855
20998,51960
20998,63057
20998,63347
20998,63814
20998,68933
20998,71801
20998,72317
20998,73044
20998,76228
20998,77455
20998,78074
20998,78620
20998,80478
20998,81041
20998,81053
20998,83531
20998,83750
20998,84466
20998,85806
20998,87620
20998,89294
20998,89463
20998,95311
20998,101611
20998,104395
20998,108394
20998,111250
20998,126744
20998,132362
20998,133731
20998,135499
20998,137817
20998,151637
20998,152005
20998,166541
20998,174624
20998,194436
20998,196189
20998,198827
20998,198895
20998,209966
20998,210217
20998,220964
20998,238284
20998,265377
20998,272283
20998,284296
20998,284335
20998,288503
20998,288596
20998,295058
20998,300705
20998,306155
20998,306439
20998,306462
20998,315885
20998,343018
20998,347243
20998,369088
20998,371896
20998,552564
20998,552627
20998,605634
20998,627246
20998,671870
20998,707853
20998,721607
20998,765875
20998,1147281
20998,1296432
20998,1304967
20998,1337643
20998,1338407
20998,1347192
20998,1347732
20998,1355261
20998,1357074
20998,1358589
20998,1359498
20998,1362877
20998,1364497
20998,1376027
20998,1376029
20998,1384725
20998,1389057
20998,1392276
20998,1392278
20998,1392522
20998,1395936
20998,1395942
20998,1412823
20998,1418955
20998,1438441
20998,1461472
20998,1674171
20998,1675230
20998,1678956
20998,1679301
20998,1714984
20998,1715625
20998,1780468
20998,1791756
20998,1830368
20998,1849826
20998,1928197
30414,83791
30414,128217
30414,286383
30414,1218673
30414,1382508
31240,1051
31240,2266
31240,3145
31240,3762
31240,3872
31240,3898
31240,4292
31240,5484
31240,7035
31240,7127
31240,8069
31240,8593
31240,9823
31240,10928
31240,12881
31240,14337
31240,16464
31240,17615
31240,24203
31240,25742
31240,25780
31240,26724
31240,28353
31240,30528
31240,31217
31240,31653
31240,32887
31240,35334
31240,36151
31240,47035
31240,47724
31240,48080
31240,50107
31240,52010
31240,53505
31240,53764
31240,56075
31240,57579
31240,63792
31240,63814
31240,64651
31240,64772
31240,64868
31240,64892
31240,66067
31240,66616
31240,66932
31240,67712
31240,67894
31240,68844
31240,68986
31240,69198
31240,72414
31240,72863
31240,72927
31240,73101
31240,73560
31240,73676
31240,73996
31240,74446
31240,74518
31240,74912
31240,76228
31240,76731
31240,77523
31240,77651
31240,77683
31240,78074
31240,79211
31240,79699
31240,79755
31240,80668
31240,80782
31240,81096
31240,81112
31240,81232
31240,81370
31240,83392
31240,83490
31240,83936
31240,83974
31240,84089
31240,84466
31240,88330
31240,89273
31240,89307
31240,91192
31240,91213
31240,92756
31240,93613
31240,94570
31240,95494
31240,101444
31240,101925
31240,103148
31240,104077
31240,108478
31240,108725
31240,109171
31240,124765
31240,125447
31240,125946
31240,127586
31240,127752
31240,131276
31240,138538
31240,147609
31240,152005
31240,152214
31240,154385
31240,154551
31240,159532
31240,161778
31240,164572
31240,174624
31240,182907
31240,184867
31240,194450
31240,195980
31240,195990
31240,196189
31240,198795
31240,199281
31240,216899
31240,259783
31240,260834
31240,261753
31240,262110
31240,262959
31240,268217
31240,272002
31240,272375
31240,275509
31240,280768
31240,284245
31240,284335
31240,286116
31240,286158
31240,287035
31240,287355
31240,288184
31240,288570
31240,290201
31240,290900
31240,291120
31240,292252
31240,292691
31240,293247
31240,300705
31240,302477
31240,302487
31240,306864
31240,307591
31240,313205
31240,316804
31240,316826
31240,316833
31240,316834
31240,332120
31240,335213
31240,336071
31240,337294
31240,338813
31240,343018
31240,345298
31240,348193
31240,353466
31240,355261
31240,357309
31240,396876
31240,400461
31240,408283
31240,408394
31240,420874
31240,427110
31240,427111
31240,428659
31240,453941
31240,458043
31240,458246
31240,461407
31240,461488
31240,552627
31240,558713
31240,569731
31240,570566
31240,621386
31240,658585
31240,658848
31240,663308
31240,664485
31240,665068
31240,665347
31240,675211
31240,689357
31240,706190
31240,706505
31240,707198
31240,711677
31240,717673
31240,735844
31240,739435
31240,749295
31240,762107
31240,764557
31240,767246
31240,767251
31240,792578
31240,799218
31240,811839
31240,823412
31240,852451
31240,852460
31240,853892
31240,863111
31240,881086
31240,883481
31240,890984
31240,916382
31240,931115
31240,939412
31240,940358
31240,949382
31240,952211
31240,952938
31240,968381
31240,976229
31240,1055114
31240,1058884
31240,1106183
31240,1139971
31240,1173105
31240,1211407
31240,1268202
31240,1269398
31240,1332216
31240,1337932
31240,1341321
31240,1342166
31240,1343136
31240,1345299
31240,1345470
31240,1345600
31240,1345838
31240,1345853
31240,1345861
31240,1346068
31240,1346176
31240,1346182
31240,1346185
31240,1346965
31240,1347502
31240,1347543
31240,1352759
31240,1353586
31240,1355412
31240,1356440
31240,1356650
31240,1356890
31240,1356971
31240,1357319
31240,1358626
31240,1359498
31240,1359697
31240,1360170
31240,1360192
31240,1360580
31240,1360967
31240,1360970
31240,1360976
31240,1361304
31240,1362642
31240,1362661
31240,1362662
31240,1362663
31240,1362956
31240,1362957
31240,1364049
31240,1364957
31240,1365382
31240,1371854
31240,1373551
31240,1379457
31240,1379458
31240,1379459
31240,1379460
31240,1384505
31240,1384510
31240,1384636
31240,1386112
31240,1386719
31240,1390390
31240,1391410
31240,1391610
31240,1392556
31240,1393240
31240,1394576
31240,1395247
31240,1395472
31240,1395643
31240,1396818
31240,1396841
31240,1397098
31240,1397108
31240,1410398
31240,1412357
31240,1417983
31240,1418955
31240,1419750
31240,1422500
31240,1426756
31240,1426770
31240,1427976
31240,1457651
31240,1472840
31240,1478081
31240,1480735
31240,1492733
31240,1525311
31240,1532741
31240,1544356
31240,1545342
31240,1602376
31240,1614354
31240,1621392
31240,1627503
31240,1631870
31240,1662820
31240,1677022
31240,1677031
31240,1679301
31240,1685489
31240,1685497
31240,1689672
31240,1715625
31240,1716206
31240,1736477
31240,1736897
31240,1756585
31240,1765986
31240,1765988
31240,1773073
31240,1775895
31240,1776034
31240,1777293
31240,1778240
31240,1782717
31240,1782720
31240,1789053
31240,1791221
31240,1794743
31240,1798736
31240,1806266
31240,1812631
31240,1844821
31240,1845820
31240,1845831
31240,1845843
31240,1846073
31240,1847937
31240,1865971
31240,1875267
31240,1875372
31240,1883019
31240,1891914
31240,1894069
31240,1900595
31240,1918206
31240,1925903
31240,1957548
31240,1971495
31240,2034996
31240,2038481
31240,2039916
31240,2058549
31240,2061177
31240,2061178
31240,2061180
31240,2067392
31240,2072528
31240,2090943
31240,2098230
31240,2103428
31240,2137244
31240,2149354
31240,2151453
57579,485
57579,2266
57579,5294
57579,6504
57579,8593
57579,10273
57579,11064
57579,13247
57579,20359
57579,29271
57579,29511
57579,30520
57579,32075
57579,32139
57579,36151
57579,51960
57579,53505
57579,56593
57579,63475
57579,63533
57579,63814
57579,64620
57579,64892
57579,65713
57579,67712
57579,69198
57579,70451
57579,72604
57579,73676
57579,74892
57579,75431
57579,76228
57579,80211
57579,80782
57579,81027
57579,81173
57579,81232
57579,81370
57579,83509
57579,83936
57579,84078
57579,84089
57579,86964
57579,87047
57579,87571
57579,87793
57579,88326
57579,91192
57579,91213
57579,94077
57579,94272
